section_title,section_type,classification_label,code,descriptor,period,duration,variable1_label,variable1_code,variable1_descriptor,variable2_label,variable2_code,variable2_descriptor,value_type_description,value,value_label,decimals,confidentiality_indicator,confidentiality_label,final_indicator,final_label,last_updated_at_source
Life-cycle age groups,,Ethnic group,37144,Tuvaluan,2013,Census,Life cycle age group,4,65 years and over,,,,Count,114.000000,,0,,,,,2024-07-15 09:07:08+00
Life-cycle age groups,,Ethnic group,37144,Tuvaluan,2018,Census,Life cycle age group,4,65 years and over,,,,Count,168.000000,,0,,,,,2024-07-15 09:07:08+00
Life-cycle age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,4,65 years and over,,,,Count,303.000000,,0,,,,,2024-07-15 09:07:08+00
Life-cycle age groups,,Ethnic group,37144,Tuvaluan,2013,Census,Life cycle age group,1,Under 15 years,,,,Percent,41.600000,percent,1,,,,,2024-07-15 09:07:43+00
Life-cycle age groups,,Ethnic group,37144,Tuvaluan,2018,Census,Life cycle age group,1,Under 15 years,,,,Percent,41.800000,percent,1,,,,,2024-07-15 09:07:43+00
Life-cycle age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,1,Under 15 years,,,,Percent,35.800000,percent,1,,,,,2024-07-15 09:07:43+00
Life-cycle age groups,,Ethnic group,37144,Tuvaluan,2013,Census,Life cycle age group,2,15-29 years,,,,Percent,23.900000,percent,1,,,,,2024-07-15 09:07:43+00
Life-cycle age groups,,Ethnic group,37144,Tuvaluan,2018,Census,Life cycle age group,2,15-29 years,,,,Percent,25.600000,percent,1,,,,,2024-07-15 09:07:43+00
Life-cycle age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,2,15-29 years,,,,Percent,28.200000,percent,1,,,,,2024-07-15 09:07:43+00
Life-cycle age groups,,Ethnic group,37144,Tuvaluan,2013,Census,Life cycle age group,3,30-64 years,,,,Percent,31.400000,percent,1,,,,,2024-07-15 09:07:43+00
Life-cycle age groups,,Ethnic group,37144,Tuvaluan,2018,Census,Life cycle age group,3,30-64 years,,,,Percent,28.900000,percent,1,,,,,2024-07-15 09:07:43+00
Life-cycle age groups,,Ethnic group,37144,Tuvaluan,2023,Census,Life cycle age group,3,30-64 years,,,,Percent,31.500000,percent,1,,,,,2024-07-15 09:07:43+00
